channel,category,n_videos,span_days,span_years,videos_per_week,videos_per_month,median_interval_days,mean_duration_min,total_content_hours,monthly_content_hours,weekly_production_hours_est,freq_first_half_per_week,freq_second_half_per_week,freq_change_pct,n_sponsored,sponsor_rate,n_child_brands,degree,family_partners,adult_partners,mean_exploit_v4,std_exploit_v4,total_views,log_total_views,log_n_child_brands,ci_pca,ci_equal,lii_pca,lii_equal
cocomelon,family,1983,7178,19.652292950034223,1.933825578155475,8.287823906380607,1.9594039351851853,13.267876954109934,438.5033333333333,1.8326971301198105,1.2828879910838673,0.2906101978266927,3.577040958484257,1130.8724832214764,3.0,0.0015128593040847,2012.0,0.0,0.0,0.0,0.036362484,0.06816832,220284115025,11.342983180738054,7.607381425639791,0.35763679518173097,0.3697127121055119,0.2559824051224243,0.3017590525396609
colinfurze,adult,412,7016,19.208761122518823,0.4110604332953249,1.7616875712656783,7.000046296296296,7.232605177993528,49.66388888888889,0.2123598441657164,0.1486518909160015,0.2953249714937286,0.5267958950969213,78.37837837837837,44.0,0.11,19.0,1.0,0.0,1.0,0.02181755,0.0796397,1847144181,9.266500796127199,2.995732273553991,0.1509653166664026,0.2529962103095783,0.09167400373017381,0.16965824972333968
dailybumps,family,3082,4818,13.190965092402465,4.477791614777916,19.19053549190536,1.0000462962962964,13.00649442097281,667.0163888888889,4.153277639407777,2.91201858279439,6.363636363636363,2.5919468659194687,-59.26940639269406,117.0,0.0392222594703318,450.0,3.0,3.0,0.0,0.07884773,0.088639855,4181250299,9.621306166168173,6.111467339502679,0.46550146421357874,0.41728730805892855,0.41516756761480733,0.45120118897236355
daviddobrik,adult,564,4089,11.19507186858316,0.9655172413793104,4.137931034482759,2.9039236111111117,4.45735815602837,41.899166666666666,0.3074040107605771,0.215182807532404,1.7671232876712328,0.1643835616438356,-90.69767441860466,34.0,0.0608228980322003,52.0,4.0,2.0,2.0,0.14413612,0.08701485,7534296874,9.87704272871565,3.970291913552122,0.34629065682720045,0.35968197026688353,0.0851563063104051,0.2715321551811013
drewbinsky,adult,1255,5023,13.752224503764545,1.748954807883735,7.495520605216006,1.206417824074074,7.274813928761299,152.04361111111112,0.908084478067556,0.6361660398583318,1.3353245718837117,2.1632815611310234,62.00417536534446,274.0,0.2450805008944543,15.0,3.0,2.0,1.0,0.0018546677,0.07495199,1469308190,9.167112899383355,2.772588722239781,0.24819427575502287,0.34882886622051795,0.16948135364347083,0.20584741170486764
dude_perfect,adult,510,6225,17.04312114989733,0.5734939759036145,2.4578313253012047,13.885462962962963,8.472450980392157,72.01583333333333,0.3470642570281124,0.2429449799196787,0.362146529562982,0.785025706940874,116.77018633540372,107.0,0.2655086848635236,525.0,1.0,1.0,0.0,0.051226124,0.07374674,20473407788,10.31119013676831,6.26530121273771,0.3097882003742563,0.4110103625029127,0.11336668553425672,0.21169270128860196
ehbee,family,1150,4452,12.188911704312115,1.808176100628931,7.749326145552561,2.20787037037037,7.426269219611256,142.21305555555554,0.958308999700509,0.6714001259868668,2.3553459119496853,1.2610062893081762,-46.46194926568757,70.0,0.0713557594291539,1074.0,0.0,0.0,0.0,0.039864797,0.09215324,3342241526,9.524037830841305,6.980075940561763,0.2902649591444551,0.3307102140077839,0.17300133951014587,0.24215441533169427
emmachamberlain,adult,308,3097,8.479123887748118,0.6961575718437197,2.9835324507587986,6.014421296296296,15.429533116178067,78.94777777777777,0.7647508341405661,0.5370693154420393,1.2073643410852712,0.1854005167958656,-84.6441947565543,50.0,0.1633986928104575,17.0,2.0,1.0,1.0,0.054839015,0.08860855,1712802534,9.23370729680238,2.8903717578961645,0.20271132621817037,0.2983683733017744,0.19905135576323196,0.2794730479683699
everleighrose,family,159,2662,7.288158795345653,0.418106686701728,1.7918858001502629,7.051440972222222,9.516771488469605,25.219444444444445,0.2842161282243927,0.1989512897570749,0.4943651389932381,0.3418482344102179,-30.85106382978723,26.0,0.1635220125786163,41.0,3.0,3.0,0.0,0.0491338,0.06997644,466388130,8.668747488704001,3.7376696182833684,0.34346136956805756,0.37027458209616537,0.11576832439372366,0.21222596526549542
familyfizz,family,1457,3434,9.401779603011637,2.970005824111823,12.72859638905067,1.0000694444444445,14.263459335624283,345.8888888888889,3.021743350805669,2.1181278649393134,3.603960396039604,2.336051252184042,-35.18099547511312,1134.0,0.9257142857142856,45.0,0.0,0.0,0.0,0.04680512,0.083273284,1170661117,9.068431193691518,3.828641396489095,0.015513144456919037,0.43507373658110476,0.3371335177359259,0.3689804421612683
familyfunpack,family,3447,5316,14.55441478439425,4.538939051918735,19.45259593679458,1.0000462962962964,9.635417271056957,553.5547222222223,3.123897980938049,2.186728586656633,4.066215199398044,5.0116629044394285,23.251295336787575,488.0,0.1534591194968553,1470.0,1.0,1.0,0.0,0.022700174,0.103137806,15943850728,10.202593219692094,7.293697720601438,0.3640013046164098,0.40730482825091413,0.3665176590500592,0.36364188787423735
grahamstephan,adult,1510,3378,9.24845995893224,3.12907045589106,13.410301953818829,1.999988425925926,9.932008830022074,249.95555555555555,2.2198539569765146,1.55389776988356,2.7519242155121373,3.5062166962699823,27.40963855421688,1097.0,0.7402159244264508,52.0,5.0,1.0,4.0,0.028773554,0.06969302,1386170514,9.1418166564911,3.970291913552122,0.16154814676188656,0.470007836926036,0.2856211152097818,0.3129274160939808
gregdoucette,adult,4348,6713,18.379192334017795,4.533889468196037,19.430954863697306,0.6676620370370371,13.52811254216498,980.3372222222222,4.381069069963751,3.0667483489746266,0.4275923718712753,8.641537544696066,1920.975609756097,13.0,0.0031011450381679,17.0,2.0,2.0,0.0,-0.02631567,0.07193924,1230450345,9.090064092376391,2.8903717578961645,0.2856342740287246,0.2891389647519704,0.43231622317000573,0.3704077400011665
halfasinteresting,adult,561,3155,8.63791923340178,1.244690966719493,5.334389857369255,5.975017361111111,6.368894830659536,59.549166666666665,0.5662361331220285,0.39636529318542,1.2650602409638554,1.225110970196576,-3.1578947368420938,75.0,0.1344086021505376,0.0,0.0,0.0,0.0,0.026669472,0.085867696,789766060,8.897498466104205,0.0,0.026525092435028874,0.17509351530687756,0.1286114035147537,0.1988319753991203
itsyeboi,family,587,3703,10.13826146475017,1.1096408317580342,4.755603564677289,3.083246527777778,16.107536973833902,157.31694444444443,1.2745094067872895,0.8936790362609169,1.9475958941112916,0.2722852512155592,-86.01941747572816,33.0,0.0564102564102564,164.0,1.0,1.0,0.0,0.07997827,0.082997635,396433023,8.598169824191958,5.10594547390058,0.2775006257793091,0.3022327573974588,0.23397499804087568,0.32691365742275513
jacksepticeye,adult,5309,4900,13.415468856947296,7.584285714285714,32.50408163265306,0.8749768518518518,31.813325797538308,2814.418888888889,17.231136054421768,12.064067618509348,11.957142857142856,3.2114285714285717,-73.14217443249701,40.0,0.0075614366729678,301.0,3.0,1.0,2.0,0.08392441,0.08267651,17584352989,10.24512639321159,5.71042701737487,0.35696414524995135,0.3581355517089094,0.9999999999999999,0.8924096378205011
jakepaul,adult,1605,4394,12.030116358658454,2.5568957669549386,10.958124715521166,0.9998958333333334,10.887819314641742,291.24916666666667,1.988501365498407,1.3919509558488845,2.708238507055075,2.4055530268548018,-11.1764705882353,18.0,0.0144,343.0,3.0,2.0,1.0,0.089301944,0.087390885,7993314240,9.90272688666128,5.840641657373398,0.4099182047580897,0.38353075388677904,0.2612324304025156,0.3505101428551038
jamescharles,adult,698,3703,10.13826146475017,1.3194706994328922,5.654874426140967,4.003391203703703,17.084361549497846,198.4633333333333,1.6078584931136917,1.1271157241540166,1.3047001620745542,1.334954078876283,2.318840579710149,331.0,0.5498338870431894,35.0,3.0,3.0,0.0,0.08713207,0.08301742,4749417340,9.676640333510324,3.58351893845611,0.2849763700518777,0.4725379936794717,0.2599224711646643,0.3522580266424858
jeffnippard,adult,617,4228,11.575633127994523,1.0215231788079469,4.377956480605487,5.001556712962962,12.632036736898977,129.89944444444444,0.9217084515925577,0.6451959161147902,1.3245033112582782,0.7185430463576159,-45.75,320.0,0.5263157894736842,35.0,2.0,0.0,2.0,-0.023513315,0.07570423,1985398460,9.297847680677494,3.58351893845611,0.10483633670393502,0.36505344998664296,0.1920154397529476,0.20316729270339617
