id,title,publishedAt,channelId,channelTitle,viewCount,likeCount,commentCount,channel_short_name,channel_category
qVmeFJtCTT4,Secret Santa Christmas Shopping!,4 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
xj29hcAGugk,"We Broke into Houses and Left $10,000!",4 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
crLpRU37jf8,SPIDER-MAN NO WAY HOME - Real Life Parkour FULL MOVIE,4 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
A89tS6gM7gI,Power Rangers! Ninja Z Episode 9,4 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
YqHE3Hm9KhY,IMPOSTERS! Beach Pranks!,4 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
qldGdu1CXXQ,Smooth Like Ninjas! Ninja Kidz Music Video (BTS Parody),4 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
RSvtjp5ZqkY,Power Rangers Ninja Z Movie 3 Remastered!,4 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
XtNE_Btewp4,Ninja Kidz Epic MOVIE!,4 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
ZyhT4RsiqC4,My Family Got Turned into Clown Zombies!,4 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
5pVxDAuO8Co,Team Seas Ninja Trash Challenge!,4 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
vTeUSC-iu-g,GHOSTBUSTERS! The 13 Mystery Ghosts!,4 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
vHE3TP4Gr0Y,Ninja Competition! Who takes home the Title?,4 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
6gDsA2S200E,Imposters Trapped us in Mario Kart!!,4 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
EwAZkl7iarw,We did EVERYTHING a Subscriber said for 24 hours!,4 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
