channel_id,video_id,title,published_text,length_seconds,views,is_live,badges,description_snippet,is_commercial,has_emotional_title
https://www.youtube.com/@KidsdianaShow,ov2CXdreGJI,Cardboard Houses Challenge for kids,5 months ago,2097,937958,False,,,False,False
https://www.youtube.com/@KidsdianaShow,0cqvfMOzok0,Oliver Gets a New Nanny – Funny Stories for Kids!,5 months ago,1275,3027350,False,,,False,False
https://www.youtube.com/@KidsdianaShow,Az3kYT-aixc,"Don’t Litter, Kids! A Garbage Monsters Adventure",5 months ago,1431,6786529,False,,,False,False
https://www.youtube.com/@KidsdianaShow,9AOs-4tmb2k,Oliver’s Dinosaur Toys Came Alive at Home!,5 months ago,1083,11199543,False,,,False,False
https://www.youtube.com/@KidsdianaShow,b_G_lLzRN9A,ABC Adventure & More Learning Stories for Kids,5 months ago,3988,1621518,False,,,False,False
https://www.youtube.com/@KidsdianaShow,Xf8zK5frniI,Kids Learn to Recycle and Make Toys!,5 months ago,1196,2640487,False,,,False,False
https://www.youtube.com/@KidsdianaShow,5FYOa4vKyRU,Fun Safety Rules at Loco Bear! Indoor Playground for Kids,5 months ago,1205,19825495,False,,,False,False
https://www.youtube.com/@KidsdianaShow,Z7iHC9W6cyE,Kids study at the School of Elves,5 months ago,1114,786651,False,,,False,False
https://www.youtube.com/@KidsdianaShow,912SmkiVvTs,Hide and Seek in One Color with Oliver and Friends,5 months ago,1103,5394119,False,,,False,False
https://www.youtube.com/@KidsdianaShow,92EC5Xfpdb4,Oliver’s Kids Cleaning Company Saves the Day!,5 months ago,1194,1747794,False,,,False,False
https://www.youtube.com/@KidsdianaShow,H7uX6kb8SS0,Kids Save a Cat in the Cardboard Cave,5 months ago,2164,3415886,False,,,False,False
https://www.youtube.com/@KidsdianaShow,eNizuIppCRE,Kids Visit the 𝐌𝐨𝐧𝐬𝐭𝐞𝐫 𝐂𝐚𝐟𝐞,5 months ago,1405,3774830,False,,,False,False
https://www.youtube.com/@KidsdianaShow,PeG77_NkoH4,Oliver and Mom 𝐁𝐨𝐱 𝐅𝐨𝐫𝐭 𝐌𝐚𝐳𝐞 𝐂𝐡𝐚𝐥𝐥𝐞𝐧𝐠𝐞 & More funny stories for kids,5 months ago,4049,3250474,False,,,False,False
https://www.youtube.com/@KidsdianaShow,QjrML1Hx0fA,Kids Take Care of Animals at the Pet Hotel,6 months ago,1375,9646611,False,,,False,False
https://www.youtube.com/@KidsdianaShow,Gh5I5xZ2v6M,Oliver teaches Dad to choose healthy food and stay fit,6 months ago,1171,389572,False,,,False,False
https://www.youtube.com/@KidsdianaShow,33RH1EwXxTc,Kids at the Monster Hotel – Halloween Story for Kids,6 months ago,1465,3468275,False,,,False,False
https://www.youtube.com/@KidsdianaShow,jH3oQA6qEoc,Hungry Plant in Our House!,6 months ago,1342,340830,False,,,False,False
https://www.youtube.com/@KidsdianaShow,innGFkO5gRQ,Oliver and Minecraft-Style Maze Adventure for Kids,6 months ago,1449,1574174,False,,,False,False
https://www.youtube.com/@KidsdianaShow,kjuwqfck9_Q,Lost Puppy & Missing Brother 🐾 | Fun and Cute Stories for Kids,6 months ago,1075,2558700,False,,,False,False
https://www.youtube.com/@KidsdianaShow,GEo6Gra-f_Y,Diana’s Magical Furby Turns Chores into Fun!,6 months ago,301,2151307,False,,,False,False
https://www.youtube.com/@KidsdianaShow,E782035iI_k,Get Ready for Halloween! 🎃 Decorations & Fun Challenges!,6 months ago,1983,1809735,False,,,False,False
https://www.youtube.com/@KidsdianaShow,uL4A6fitmH8,Hotel Neighbors Adventure with Funny Girls - Kids Comedy Video,6 months ago,1345,3830860,False,,,False,False
https://www.youtube.com/@KidsdianaShow,A95U7VLi3CI,Monster Friends & Halloween Fun School Stories,6 months ago,1028,12985472,False,,,False,False
https://www.youtube.com/@KidsdianaShow,uarVG7uq3xA,Kids Car Adventures – Pretend Play Gas Station & Car Wash Fun!,6 months ago,2069,1464773,False,,,False,False
https://www.youtube.com/@KidsdianaShow,ZMLn1VTv6AY,Cardboard Hospital Adventure - Oliver Helps Patients,6 months ago,1135,2073363,False,,,False,True
https://www.youtube.com/@KidsdianaShow,GrgBM7MQoWc,Firefighter & Superhero School with Oliver and Roma,6 months ago,949,11395304,False,,,False,False
https://www.youtube.com/@KidsdianaShow,pDSWye6ddvo,Rich vs Poor Princess - Battle for the Prince 👑💖 | Kids Comedy Video,7 months ago,1169,3188826,False,,,False,False
