id,title,view_count,duration,upload_date,like_count,comment_count,playlist_index,n_entries,drift_score,video_order,drift_rolling,is_viral,viral_ratio
9oJgHAXmk5g,"Burmese Cuisine: Authentic Restaurant in Bangkok, Thailand",135673,154.0,,0,0,1464,1553,-0.15886107,89,-0.08628019150346518,False,0.10818519696893582
LHcjtEZEohA,"Big Bite Tasting Market in Bangkok, Thailand",13840,79.0,,0,0,1463,1553,-0.13912307,90,-0.08908898364752531,False,0.011035969765908264
mg65xLpYMOg,Thai Breakfast and Aphrodisiac (ไข่ลวก): Soft Boiled Egg Shot,126531,167.0,,0,0,1462,1553,-0.06510243,91,-0.09010056685656309,False,0.10089539670882502
WgZstdvtUXU,Vegetarian Thai Food: A Guide to Eating Healthy (and Delicious) Thai Food!,108901,224.0,,0,0,1461,1553,-0.12560722,92,-0.0874852618202567,False,0.08683729360384218
E1LyMpu0cO4,"Thai Style ""Hainanese Chicken Rice"" (Khao Man Gai ข้าวมันไก่) in Pratunam",131610,160.0,,0,0,1460,1553,-0.14423555,93,-0.08617184888571501,False,0.10494537434184874
z6okv3e6mZI,Pratunam Market - Tour of Bangkok's Crazy Shopping District,247252,161.0,,0,0,1459,1553,-0.1028795,94,-0.08993156095966696,False,0.19715791882661488
BlaOCzzqZb4,"Paddleboarding on the North Shore of Oahu, Hawaii",9718,158.0,,0,0,1458,1553,-0.16933674,95,-0.09572888156399131,False,0.007749100735917377
GOU6wABN-2o,Eating SPAM Musubi - the Hawaiian Way,249889,114.0,,0,0,1457,1553,0.06320608,96,-0.09568005846813321,False,0.1992606538174169
1adfMcTV4V8,Mango Sticky Rice (ข้าวเหนียวมะม่วง): Best Thai Desserts!,309128,175.0,,0,0,1456,1553,-0.018598482,97,-0.0958166230469942,False,0.24649763452280993
sjhqt9NPFbI,Koko Head Hike - Amazing Hiking Trails in Oahu,87926,129.0,,0,0,1455,1553,-0.2345729,98,-0.1039805144071579,False,0.0701118986732117
JygdXwscdt0,"Oahu Island, Hawaii (in HD Video)",9568,132.0,,0,0,1454,1553,-0.027747385,99,-0.10030061043798924,False,0.007629491237009412
E2VGTO-LWlY,Hawaii Food: 16 Mouthwatering Hawaiian Dishes!,370299,153.0,,0,0,1453,1553,-0.13761163,100,-0.10003763698041439,False,0.29527518557413757
t4zgoR_8UJY,Ethiopian Coffee Ceremony - How to Drink Traditional Coffee!,238092,170.0,,0,0,1452,1553,-0.15962404,101,-0.10120651535689831,False,0.18985376542663512
w6oisfv2Euc,"HUGE Loco Moco Plate Lunch from Papa Ole's Kitchen, Hawaii",215826,126.0,,0,0,1451,1553,-0.05888166,102,-0.10058252867311239,False,0.17209893140873675
ueEHwyV_WZo,Seoul Street Food at Gwangjang Market,265167,176.0,,0,0,1450,1553,-0.09568223,103,-0.10332483854144811,False,0.21144327997952286
Y635qSWsaG4,How to Eat Traditional Hawaiian Food in Honolulu (in HD),196526,169.0,,0,0,1449,1553,-0.16883145,104,-0.1071122581139207,False,0.15670917588257854
S3nqhJ8vvro,Gigantic Korean Ice Cream Cone,130479,74.0,,0,0,1448,1553,0.14906916,105,-0.09097991082817317,False,0.10404351872008268
v3lIJLRibEM,Easy Thai Tom Yum Goong Soup Recipe (วิธีทำต้มยำกุ้ง),785322,241.0,,0,0,1447,1553,-0.07342838,106,-0.08645138014107942,False,0.6262131393426741
8r8qmUnt_cM,Delicious Korean Mandu (만두) Dumplings in Insadong,197170,175.0,,0,0,1446,1553,-0.05951046,107,-0.08190130107104779,False,0.15722269933122343
bpof3QsnaAs,Bangkok Street Food Tours: Wang Lang Market ตลาดวังหลัง,150167,218.0,,0,0,1445,1553,-0.19593105,108,-0.09616450034081936,False,0.1197426641500828
aPc5-o3-Pho,The Best Travel Backpack - Review of Osprey Talon 44 Pack,108810,293.0,,0,0,1444,1553,-0.13208702,109,-0.09482579790055752,False,0.086764730507838
2n18RYOU7H4,Amazing Korean Barbecue in Seoul (새마을식당),371995,147.0,,0,0,1443,1553,-0.12343269,110,-0.09404127895832062,False,0.29662757030845693
Z7xo-GJb10M,Thai Green Curry Chicken Recipe (แกงเขียวหวาน),142078,299.0,,0,0,1442,1553,-0.045277365,111,-0.09305002577602864,False,0.11329252257230593
N-zrjBpKGiI,"25 Best Things To Do in Seoul, South Korea",2721722,405.0,,0,0,1441,1553,-0.10702413,112,-0.09212087132036686,True,2.170292030578567
EdTq-Bznf0E,Cheapest Seoul Hotel - A Tour of My Extremely Mini Room!,148415,156.0,,0,0,1440,1553,-0.039177805,113,-0.08686798401176929,False,0.11834562520283777
8sLRGzsAyl8,"Kandy, Sri Lanka - Travel Video (HD)",108690,153.0,,0,0,1439,1553,-0.07348118,114,-0.08539806790649891,False,0.08666904290871164
UyZqJh1zvDE,Traditional Thai Food at The Local Restaurant in Bangkok,94029,273.0,,0,0,1438,1553,-0.18283117,115,-0.08607278950512409,False,0.07497841048544711
gjhrrF4xDRk,Floating Market Bangkok - Bang Nam Pheung (ตลาดน้ำบางน้ำผึ้ง),118209,221.0,,0,0,1437,1553,-0.08202898,116,-0.09333454221487045,False,0.09425946170941112
igd3_5xeLk0,"Fresh Seafood at Noryangjin Fish Market in Seoul, South Korea",160362,180.0,,0,0,1436,1553,-0.05465299,117,-0.09513726755976677,False,0.12787212309252752
aiecTGrmNEU,Crave International Lunch Buffet at Aloft Hotel Bangkok,27978,163.0,,0,0,1435,1553,-0.082076944,118,-0.08751246966421604,False,0.022309563736313685
vcJeS-cEhoE,Deliciously Porky Korean Hangover Soup in Seoul (Haejangguk 해장국),89820,124.0,,0,0,1434,1553,-0.051039327,119,-0.08867706675082446,False,0.07162216794608961
3Q5lUyBJRjQ,"Day Trip to Galle, Sri Lanka",58439,162.0,,0,0,1433,1553,-0.13497236,120,-0.08854510355740786,False,0.04659906337788389
TjslGAtVvRI,Thai Beef Noodles (ก๋วยเตี๋ยวเนื้อตุ๋น Kuay Teow Neua),239602,142.0,,0,0,1432,1553,-0.057616837,121,-0.08344474341720343,False,0.19105783438230864
UJSzHGtsoQc,Southern Thai Kaeng Som Soup (แกงส้มใต้) - Flames of Flavor!,145793,137.0,,0,0,1431,1553,-0.013328798,122,-0.08116710036993027,False,0.11625485116192655
J9yCS_muf50,Thai Desserts - Nam Kang Sai Shaved Ice (น้ำแข็งใส),100736,109.0,,0,0,1430,1553,-0.04391382,123,-0.0785786796361208,False,0.08032654987995193
xD7KUpJ_eK0,Sri Lankan Food Adventure (Pol Sambol Recipe),416697,290.0,,0,0,1429,1553,-0.15184209,124,-0.0777292113751173,False,0.3322727957763494
s9IVtPnUHBE,How to Tie a Plastic Bag with a Rubberband Like a Thai,139335,127.0,,0,0,1428,1553,-0.053116113,125,-0.08783847503364087,False,0.11110526353560894
I-fyexj98rI,Thai Basil Chicken: Bangkok $1 Lunch (กระเพราไก่ไข่ดาว),157834,108.0,,0,0,1427,1553,-0.10972591,126,-0.0896533515304327,False,0.12585630433759862
V2GIc9cBiSo,Thai Boat Noodles in Bangkok at Victory Monument (ก๋วยเตี๋ยวเรือ),412759,316.0,,0,0,1426,1553,-0.09751493,127,-0.09155357498675584,False,0.3291326477316856
1riNHBUYANU,Chatuchak Market - Bangkok's Gigantic Weekend Market (ตลาดนัดจตุจักร),151734,227.0,,0,0,1425,1553,-0.10591215,128,-0.08705263007432222,False,0.12099218471534136
jRJ1w-MFRBI,Thai Chicken Biryani - Khao Mok Gai and Muslim Food (ข้าวหมกไก่),361165,270.0,,0,0,1424,1553,-0.124075994,129,-0.08665207866579294,False,0.28799176448730185
ru9qYqD7yuI,Klong Toey Market - Bangkok's Breadbasket (ตลาดคลองเตย),57192,211.0,,0,0,1423,1553,-0.10915128,130,-0.08593800831586122,False,0.045604709743629
n6VQsOvNvyQ,"25 Amazing Things To Do in Bangkok, Thailand",7785232,760.0,,0,0,1422,1553,-0.11162788,131,-0.08925553392618894,True,6.207917989348376
UIza0JbOxA0,Thai Ice Cream Sandwich (in a Bun) ไอติมขนมปัง,166493,122.0,,0,0,1421,1553,0.043120753,132,-0.08174828961491584,False,0.13276096201122575
3UqlmarvU-U,A Trip to Pahurat (พาหุรัด) - Bangkok's Little India,160302,158.0,,0,0,1420,1553,-0.1284268,133,-0.08621073961257934,False,0.12782427929296433
o8ZVyPTYVEI,Or Tor Kor Market - Bangkok's Upscale Food Center (ตลาด อ.ต.ก.),145607,231.0,,0,0,1419,1553,-0.11875244,134,-0.08847430273890496,False,0.11610653538328067
uEJdMCkRo00,Chinatown Bangkok - Yaowarat Street Food Tour (เยาวราช),742696,457.0,,0,0,1418,1553,-0.13515973,135,-0.08609073087573052,False,0.5922233093396678
4sNJXlYxq0Q,"Nasi Lemak - Fatty Rice, Heavenly Toppings",424772,174.0,,0,0,1417,1553,-0.042778768,136,-0.08412822037935257,False,0.33871177380089484
KYTRqA_-m94,Thailand Vegetarian Food Festival (Part 1) - Bangkok 2012 เทศกาลกินเจ,59567,226.0,,0,0,1416,1553,-0.1951989,137,-0.09115551561117172,False,0.04749852680967178
VKedwRUFm70,Thailand Vegetarian Food Festival (Part 2) - Bangkok 2012 เทศกาลกินเจ,39677,220.0,,0,0,1415,1553,-0.19766241,138,-0.09693478904664517,False,0.03163830725447559
xNQSFCfjxuU,Roti Canai and Teh Tarik - Malaysian Breakfast,398895,133.0,,0,0,1414,1553,-0.12187931,139,-0.1004767881706357,False,0.31807754044595205
AZY1bYzN0lM,South Indian Food in Kuala Lumpur (Vishalatchi Banana Leaf Meal),1187364,287.0,,0,0,1413,1553,-0.09897117,140,-0.09867672864347696,False,0.9468000870757152
-B9Pup4maRk,"Chow Kit Market in Kuala Lumpur, Malaysa",34719,92.0,,0,0,1412,1553,-0.11531499,141,-0.1015616362914443,False,0.02768481461723764
lnwtm74ZhHs,Nasi Campur in Kampung Baru (Mixed Rice Curry),298318,206.0,,0,0,1411,1553,-0.06520017,142,-0.10415520500391721,False,0.23787777663484255
a2S-4rdAh1Y,Thai Royal Barge Procession กระบวนพยุหยาตราชลมารค,105118,210.0,,0,0,1410,1553,-0.037703328,143,-0.10384468045085668,False,0.08382074204138329
e17RiGcdkVM,Ikan Bakar - Malaysian Grilled Fish and Seafood!,386306,300.0,,0,0,1409,1553,-0.07195967,144,-0.09985055942088365,False,0.30803911390093625
_qPqUfYlldA,Malaysian Economy Rice - Street Chinese Food,193934,124.0,,0,0,1408,1553,-0.08435224,145,-0.10141236577183008,False,0.15464232374144893
