channel,category,n_videos,span_days,span_years,videos_per_week,videos_per_month,median_interval_days,mean_interval_days,mean_duration_min,median_duration_min,total_content_hours,monthly_content_hours,weekly_production_hours_est,freq_first_half_per_week,freq_second_half_per_week,freq_change_pct
nikkietutorials,adult,944,6497,17.78781656399726,1.0170848083730952,4.358934893027551,4.802025462962963,6.890758046620321,11.1170197740113,10.266666666666667,174.90777777777777,0.8076394233235852,0.5653475963265097,1.271551724137931,0.7629310344827587,-40.0
peterMcKinnon,adult,818,3433,9.399041752224504,1.6679289251383629,7.148266822021555,3.041261574074074,4.202123863842423,10.374908200734394,10.516666666666667,141.27166666666668,1.234532478881445,0.8652304741830054,2.157925407925408,1.1789044289044288,-45.3686200378072
pewdiepie,adult,4617,5681,15.553730321697467,5.688963210702341,24.381270903010034,0.9294212962962962,1.2308264405409526,16.255338964695692,12.083333333333334,1250.8483333333334,6.605430381975005,4.623801267382504,8.545422535211268,2.834507042253521,-66.83011248918373
piersonwodzynski,family,656,2598,7.112936344969199,1.7675134719014627,7.575057736720555,2.017326388888889,3.9673988726321743,5.633282520325204,1.2833333333333334,61.590555555555554,0.7112073389787016,0.4978451372850911,0.74364896073903,2.7913779830638954,275.36231884057975
piperrockelle,family,816,3236,8.85968514715948,1.7651421508034608,7.564894932014832,2.0003587962962963,3.9708817882299483,15.32433537832311,15.716666666666667,208.15555555555557,1.9297486608982284,1.352481515466341,1.6353522867737948,1.8949320148331275,15.873015873015877
prestonplayz,adult,1179,2835,7.761806981519507,2.9111111111111114,12.476190476190476,2.0097511574074076,2.4070622877758914,0.0,0.0,0.0,0.0,0.0,3.324629498941426,2.499647141848977,-24.814264487369982
rebeccazamolo,family,1171,4342,11.887748117727584,1.8878397052049745,8.090741593735606,3.0305092592592593,3.711330484330484,0.0,0.0,0.0,0.0,0.0,1.9410409949332106,1.834638415476739,-5.481727574750826
roomieofficial,adult,869,5643,15.449691991786448,1.077972709551657,4.619883040935672,1.194716435185185,6.501406223331626,0.0,0.0,0.0,0.0,0.0,0.3076923076923077,1.8486352357320102,500.8064516129033
ryansworld,family,3685,4058,11.110198494182066,6.35657959586003,27.24248398225727,1.0,1.1015889438060482,0.0,0.0,0.0,0.0,0.0,6.0650566781665844,6.648102513553474,9.613196814561995
simoneGiertz,adult,196,4227,11.572895277207392,0.3245800804352969,1.3910574875798438,12.041770833333333,21.67914832621083,0.0,0.0,0.0,0.0,0.0,0.3014671083767156,0.3478466635115949,15.384615384615374
smartereveryday,adult,395,7034,19.2580424366872,0.3930907023030992,1.6846744384418537,13.764010416666666,17.854800361910137,0.0,0.0,0.0,0.0,0.0,0.4717088427637191,0.31447256184247935,-33.33333333333334
sonnysidevlog,adult,898,3786,10.365503080082135,1.6603275224511358,7.115689381933439,3.989363425925926,4.2214662558321985,18.745118782479587,15.9,280.5519444444444,2.223074044726184,1.5561518313083293,1.4939249867934494,1.826730058108822,22.277227722772285
tannerites,family,1409,3900,10.677618069815194,2.528974358974359,10.838461538461537,2.1171527777777777,2.770541359230324,0.0,0.0,0.0,0.0,0.0,3.55025641025641,1.5076923076923077,-57.532861476238615
theleray,family,1896,3753,10.275154004106776,3.536370903277378,15.155875299760192,1.6895949074074075,1.9809669818235123,0.0,0.0,0.0,0.0,0.0,3.2723880597014925,3.8022388059701493,16.19156214367161
thesacconejolys,family,2852,5812,15.912388774811772,3.4349621472814866,14.721266345492086,1.000011574074074,2.038590264786884,0.0,0.0,0.0,0.0,0.0,5.439091534755677,1.4308327598072952,-73.69353410097432
thesuperherobuddy,family,4121,5202,14.242299794661191,5.545367166474433,23.765859284890425,0.9999768518518518,1.2626940286767352,0.0,0.0,0.0,0.0,0.0,7.126489811610919,3.964244521337947,-44.373111782477345
theweisslife,family,1818,4307,11.791923340177961,2.954724866496401,12.663106570698861,1.9132638888888889,2.3707964071322287,0.0,0.0,0.0,0.0,0.0,2.861124013005109,3.049698095680446,6.5909090909090935
tomscott,adult,737,7264,19.887748117727583,0.7102147577092511,3.0437775330396475,6.999849537037037,9.870506617351047,0.0,0.0,0.0,0.0,0.0,0.5454295154185022,0.875,60.424028268551254
twosetviolin,adult,1692,4456,12.199863107460644,2.6579892280071813,11.391382405745063,1.0690625,2.635680351589022,0.0,0.0,0.0,0.0,0.0,2.287253141831239,3.0287253141831236,32.417582417582395
unspeakable,adult,1115,3156,8.640657084188911,2.473067173637516,10.598859315589355,2.0833333333333335,2.8338762446804973,0.0,0.0,0.0,0.0,0.0,2.7813688212927756,2.164765525982256,-22.169059011164276
veritasium,adult,499,5733,15.696098562628336,0.6092796092796092,2.6111983254840396,8.168171296296297,11.513832598914176,0.0,0.0,0.0,0.0,0.0,0.5812979762735521,0.6374738311235171,9.663865546218469
vladandniki,family,1014,2919,7.991786447638604,2.431654676258993,10.421377183967113,2.978263888888889,2.8816636617491134,0.0,0.0,0.0,0.0,0.0,2.130226182316655,2.7347498286497602,28.378378378378393
wendover,adult,277,3881,10.625598904859686,0.4996135016748261,2.1412007214635405,13.999988425925926,14.063873498725174,0.0,0.0,0.0,0.0,0.0,0.4871134020618557,0.5123711340206186,5.18518518518519
