channel,category,content_exploit,videos_per_week,mean_duration_min,sponsor_rate,n_child_brands,degree,family_partners,composite_index,n_videos,span_years,videos_per_week_freq,mean_duration_min_freq,total_content_hours,monthly_content_hours,weekly_production_hours_est,freq_change_pct,degree_net,family_partners_net,adult_partners,sponsor_rate_detail,n_child_brands_detail,tiktok_followers,tiktok_videos,tiktok_hearts,total_videos_cross_platform,overall_exploit,cluster,cluster_label
familyfizz,family,0.04680512,2.970005824111823,14.263459335624283,0.9257142857142856,45.0,0.0,0.0,0.3259191232282182,1457,9.401779603011637,2.970005824111823,14.263459335624283,345.8888888888889,3.021743350805669,2.1181278649393134,-35.18099547511312,,,,0.9257142857142856,45.0,805700.0,431.0,33200000.0,1888.0,0.3708014573619645,3,Moderate Exploitation
theweisslife,family,0.050955676,2.954724866496401,0.0,0.3383167220376523,231.0,0.0,0.0,0.2396988559130531,1818,11.79192334017796,2.954724866496401,0.0,0.0,0.0,0.0,6.5909090909090935,,,,0.3383167220376523,231.0,1500000.0,1848.0,83200000.0,3666.0,0.3644678904904879,3,Moderate Exploitation
bonniehoellein,family,0.027402466,4.471264367816092,10.84170033051781,0.1403831982313927,264.0,2.0,2.0,0.2597263796343743,2723,11.671457905544148,4.471264367816092,10.84170033051781,492.0325,3.4625791695988744,2.4238054187192115,-7.152974504249314,2.0,2.0,0.0,0.1403831982313927,264.0,156.0,0.0,0.0,2723.0,0.3615550448853961,3,Moderate Exploitation
bratayley,family,-0.011111078,5.621505376344086,15.617629799719351,0.0045906656465187,153.0,2.0,2.0,0.2171256548794065,2614,8.91170431211499,5.621505376344086,15.617629799719351,680.1477777777778,6.268643113159243,4.389729494243697,15.49876339653751,2.0,2.0,0.0,0.0045906656465187,153.0,5992.0,0.0,0.0,2614.0,0.3461050641039596,3,Moderate Exploitation
theleray,family,0.013517691,3.536370903277378,0.0,0.5975308641975309,53.0,0.0,0.0,0.243275800168146,1896,10.275154004106776,3.536370903277378,0.0,0.0,0.0,0.0,16.19156214367161,,,,0.5975308641975309,53.0,145.0,1.0,175.0,1897.0,0.3352781299541518,3,Moderate Exploitation
kkandbabyj,family,0.08174845,4.0955588822355296,15.026886993603412,0.1016066000868432,136.0,0.0,0.0,0.2799583995639676,2345,10.97330595482546,4.0955588822355296,15.026886993603412,587.3008333333333,4.395964321357286,3.0771750249501006,-60.33353186420488,,,,0.1016066000868432,136.0,293.0,0.0,0.0,2345.0,0.2943187839874198,3,Moderate Exploitation
thesacconejolys,family,0.07350996,3.434962147281486,0.0,0.1316251316251316,59.0,0.0,0.0,0.2505436366906121,2852,15.912388774811772,3.434962147281486,0.0,0.0,0.0,0.0,-73.69353410097432,,,,0.1316251316251316,59.0,0.0,0.0,,2852.0,0.28296038351974345,3,Moderate Exploitation
vladandniki,family,0.043409448,2.431654676258993,0.0,0.1442687747035573,188.0,1.0,0.0,0.1841544559002066,1014,7.991786447638604,2.431654676258993,0.0,0.0,0.0,0.0,28.378378378378397,1.0,0.0,1.0,0.1442687747035573,188.0,0.0,0.0,,1014.0,0.234569100269165,2,Low-Risk Family Channels
labrantfam,family,0.06241623,0.3818181818181818,0.5444444444444445,0.0,0.0,2.0,2.0,0.1519101943571712,3,0.1505817932922655,0.3818181818181818,0.5444444444444445,0.0272222222222222,0.0148484848484848,0.0103939393939393,100.0,2.0,2.0,0.0,,,0.0,2.0,10.0,5.0,0.2226831137407986,2,Low-Risk Family Channels
andrewdavila,family,0.19846207,0.0755395683453237,1.1111111111111112,0.0,0.0,1.0,1.0,0.3184523809523809,3,0.7611225188227242,0.0755395683453237,1.1111111111111112,0.0555555555555555,0.0059952038369304,0.0041966426858513,-50.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.21146510199463356,2,Low-Risk Family Channels
