channel_id,channel_title,subscribers,total_videos_on_channel,cross_platform,avg_duration_min,emotional_rate,commercial_rate,avg_commercial_score,avg_views,median_views,risk_score
UCTk9yzZAXir64WOpXt5DosA,Family Traveler அமெரிக்க VLOGS,120000,917,4,23.471666666666668,0.1,0.0,0.0,14390.9,12608.0,0.21477288580759527
UCx3RchaoRFpDpB60x7xRREw,Meekah - Educational Videos for Kids,6080000,1190,3,86.70833333333333,0.02,0.0,0.0,146815.32,126504.5,0.21444973841193848
UCr3wdq5aVFBXwo84Vnd8NLg,Beast Family Vlogs ,1380000,189,0,23.868333333333332,0.26,0.0,0.0,274607.26,165952.0,0.20800879787683238
UC0RIR-ic21_RJMJVMPP_0MQ,Canadian Family Life,11600,828,2,11.707333333333334,0.0,0.04,0.14,281.42857142857144,140.0,0.1979598856703722
UCCavka0AbNklF4cqfaiwqEA,Forever Family Vlogs,868000,2261,1,24.75766666666667,0.14,0.0,0.0,40544.9,34316.0,0.19784103276706394
UCspL7qWLI7jfbPrZWm8KLEg,S Family vlogs,7150,891,2,22.266333333333332,0.14,0.0,0.0,801.32,677.5,0.18998798097691116
UCvthuVsurPaVz2a7_4LepGg,Family Fun Pack,10500000,3449,2,19.383333333333333,0.06,0.0,0.0,73750.22,46599.5,0.18827195638409566
UCYfbq37VGb-07tDS0FGtsPw,Piper Rockelle,12200000,816,0,18.104666666666667,0.22,0.0,0.0,599251.44,420831.5,0.18789203084055855
UCCbcZxe-8w5obQHhtX8mA6A,"Our Life In ""Holland"" - The Bingham Family",150000,1126,2,15.498666666666667,0.14,0.0,0.0,29320.0,20227.5,0.18731103095037707
UCI5lrYVm4ctqxEHG4HgvdRA,Our Family Nest,1100000,3215,3,20.906333333333336,0.02,0.0,0.0,11338.62,8338.0,0.18273520291467818
UC6QWhGQqf0YDYdRb0n6ojWw,Brooklyn and Bailey,7410000,1641,3,24.203333333333333,0.06,0.0,0.0,327494.96,297777.0,0.1792824202435856
UCtZAaljDNIsIAIhwYYzvEiw,The Bee Family,10300000,1150,2,19.314666666666668,0.12,0.0,0.0,443602.68,92655.5,0.17865648997619918
UCxq523tQwXhcgDDqBuwoiMQ,Lovleen Vats,707000,1465,0,10.571666666666665,0.12,0.02,0.06,38587.58,34575.0,0.17544781211718674
UCFCKt1z8dli47-J5rI5yd3g,BIG FAMILY,57500,2391,2,15.822000000000001,0.08,0.0,0.0,2797.6,1129.5,0.17459736591249359
UCxJrnvfqSSvly5hiq2Fe68g,SACCONEJOLYs,1610000,2852,0,22.353666666666665,0.12,0.0,0.0,194626.72,175360.0,0.16940623123075918
UCJplp5SjeGSdVdwsfb9Q7lQ,Like Nastya,132000000,1066,4,26.915333333333333,0.02,0.0,0.0,9761939.54,5660960.5,0.16765841640786858
UCMLqsgXvM6Vs0aiegOdrtLQ,Big Big Family in the USA,164000,2938,1,32.474000000000004,0.06,0.0,0.0,24598.08,21907.5,0.16721508015050032
UCbZgDzTkBQMkPWYBFESJ3sQ,That YouTub3 Family - The Adventurers,3580000,1728,3,22.230666666666664,0.04,0.0,0.0,47084.9,34872.0,0.16531869400086896
UCyCyTe_1bT2aIPwG_gxbyeg,Daily Bumps,5060000,3077,1,14.745000000000001,0.08,0.0,0.0,34615.6,28503.5,0.16336241705909116
UC1Az_80tfW-1uEQBlUGXnww,Epic Family Road Trip,285000,604,2,38.576,0.08,0.0,0.0,39801.52,32933.5,0.1617862737441182
UCEdhDTg-o0-6FqWsmeB1MAw,The Gujju family in Canada,7780,556,0,11.184333333333333,0.2,0.0,0.0,3525.04,2468.5,0.16062014629611307
UCI86O2Dr9tU60b6CMhOZYNg,Canada Couple Vlogs,887000,727,4,15.270666666666667,0.04,0.0,0.0,28034.18,14648.0,0.16037655003840173
UC_8BKDmjs7jWcjtxOUq9xmg,Hustle at Home Mom,244000,406,2,27.869333333333334,0.1,0.0,0.0,108604.34,92590.5,0.158673071285755
UCLWvIB80ANqrEJhzYzfkgGA,Family Games Media,19600000,5851,0,15.047666666666666,0.02,0.0,0.0,7962.28,7571.5,0.1586409574138956
UCk8GzjMOrta8yxDcKfylJYw,✿ Kids Diana Show,138000000,1613,3,28.012,0.02,0.0,0.0,4412907.2,2759676.0,0.15589344074503775
UCrXQvORCzycJ9mwE0bsLibQ,Daral - Iranian lifestyle,214000,1080,0,78.57300000000001,0.06,0.0,0.0,71323.52,70384.5,0.15482079871514773
UCvmLqYHtUnIFQ0mS-VICGpw,Family Channel,329000,1767,1,12.947666666666667,0.1,0.0,0.0,33281.64,17022.0,0.14621213866385854
UCyS891Ie9r_GGB431XBvSPA,Family 5 Vlogs,86100,2308,1,37.915333333333336,0.04,0.0,0.0,9211.0,8774.0,0.1461291144090085
UC0JuFXTfkyDOR-rKBfSsEmA,Our Twin Life Family,22700,2277,2,16.089333333333332,0.04,0.0,0.0,1331.64,1050.5,0.14523548627633606
UCUg7EafRUm0RPzrrxoQJhjw,JOE BREEZY LIFESTYLE & FAMILY,44200,27,2,23.33083333333333,0.1,0.0,0.0,38506.7,11304.0,0.14513747703508822
UCmrtxIX1NxdsaOfdGxSl5YQ,The Young Fam,892000,1299,3,11.427,0.04,0.0,0.0,19867.76,13003.5,0.1434510414679715
UCGXMW0suZvGU0zYVaQfnmyw,Hayes Family Vlog,124000,238,1,15.398,0.14,0.0,0.0,81070.36,62327.0,0.1427657852254392
UCKGhcY5F8Xo3O-R_eo58ISg,Simple Indian family vlog,10900,974,0,8.847666666666667,0.16,0.0,0.0,83.9,78.5,0.13988975515296775
UCcdwLMPsaU2ezNSJU1nFoBQ,Baby Shark - Pinkfong Kids’ Songs & Stories,84500000,3851,0,24.755999999999997,0.04,0.0,0.0,2056075.72,1044580.0,0.13968624718946196
UCWwWOFsW68TqXE-HZLC3WIA,The ACE Family,18000000,713,2,16.137,0.08,0.0,0.0,989937.02,860181.5,0.1382475748746674
UCeJICuSKNGMVQbAAzH6DcAw,Family Fizz,2780000,1453,0,30.950333333333333,0.1,0.0,0.0,271955.7,232657.5,0.13514029873982975
UCtAXjvtx_fJdc8-kTAEcv6g,Maria & Family Vlogs,5770,695,3,12.932333333333334,0.04,0.0,0.0,2042.5,1805.0,0.1319749540817618
UCUA-OKbvCVNChlyaG5CsqhA,Canadian Family Vlog,4610,716,3,34.70166666666667,0.0,0.0,0.0,202.06,122.5,0.1304078507351326
UCtg19lKuAVJpxn-Xhv-WLTA,Priti’s family in Uk vlog,1840,1095,2,23.791,0.04,0.0,0.0,266.8,248.0,0.12827164369572525
UCochAaNGtKkuPsmpw1JkH1A,Gulati Family in Canada,54900,1327,2,19.314666666666668,0.04,0.0,0.0,8645.16,8076.5,0.12817621043412308
UCniCPy-kRxYshisooylV--g,Earls Family Vlogs,541000,877,3,14.333,0.02,0.0,0.0,35592.38,21901.0,0.12398695421021164
UC3KknIJZXRygH2pZ6MDtGbg,Kids Channel - Cartoon Videos for Kids,6900000,2836,1,20.112000000000002,0.02,0.0,0.0,17154.58,15858.5,0.12352520797083721
UCakH8fd1GzGJqJMT0NISHJA,Family blog video,1100000,3565,1,17.566333333333333,0.0,0.0,0.0,13374.22,7317.5,0.1229461036215915
UC1vyr5sGa-vcl7nDVMj1s_A,The Mummy Vlogger,45000,341,3,21.257333333333335,0.02,0.0,0.0,21153.72,14185.5,0.12025918698896206
UCT-eeAawywE0UG_qvoA_HBQ,Actor Ashwanth,36500,269,3,3.9956666666666667,0.0,0.02,0.04,25740.24,2740.5,0.11848672955463938
UCyT6APaPTsFEwtEHu-oMqFA,TiffyQuake,1260000,833,3,18.093,0.0,0.0,0.0,25016.64,18142.0,0.11377991477127583
UCdBpCFv_RTOOBrImOlPT97g,RodVivKids Family Vlog Philippines 🇵🇭 ,11000,1565,0,20.974666666666668,0.08,0.0,0.0,756.64,653.0,0.1124777705994299
UCv9KaLMgXHG4Cafo8_qopsg,Suharsh Family in Canada,331000,942,2,12.547333333333334,0.04,0.0,0.0,104732.94,51815.5,0.11193439006183277
UCt8y36oOifN7XfX6wYyYkNQ,Adventure Family Vlog,4080,728,3,18.048000000000002,0.0,0.0,0.0,11099.04,3295.0,0.1114305850617531
UCWIXaSAwhR0KvMqZMdkolaA,Family Lifestyle ,82000,924,0,4.658333333333333,0.125,0.0,0.0,41.142857142857146,24.0,0.11017647515128007
UCF2PQrk3QVky8eFexifcjDA,ItsYeBoi,2670000,586,2,14.649333333333335,0.02,0.0,0.02,145135.52,130289.0,0.1096521594176289
UCqh9gGUn9Y9Soo94R2qPfcw,Noob Family Vlogs,198000,211,0,20.167666666666666,0.12,0.0,0.0,77196.82,56615.0,0.10909715441155012
UCWw_fOUvuGFonxrA9j29V-Q,Family Vlogs,273000,1179,0,12.21,0.1,0.0,0.0,2786.5,2576.0,0.10749480631768057
UCTd7KgjB_wmLd-absFsvOGQ,My family diary telugu,63500,1694,1,21.086000000000002,0.02,0.0,0.0,21311.1,17702.5,0.09966413534324689
UCGZA0_5LShndtki1B1WCQ3g,Beyond Our Doorstep,161000,231,1,13.309,0.08,0.0,0.0,7933.1,6204.5,0.09943452186615798
UC-z5VCIFLG6tximfWzzlSSQ,Family Channel,138000,1162,2,19.432333333333336,0.0,0.0,0.0,4105.44,2093.5,0.09752557069735132
UCmKxf6bbhkUuVu4Ps3bfC6A,My OzLife,610000,936,2,23.647333333333332,0.0,0.0,0.0,76355.56,67324.5,0.09745036476816726
UCa34wX6lIoc6tyQENlvjg6g,Being UK  Family Vlog,181000,1419,2,13.247000000000002,0.0,0.0,0.0,53004.7,53736.5,0.09600273247654677
UCYoiQfqe0J6J6BID0J6JTPg,Fil British family vlogs,52300,2153,0,18.285,0.04,0.0,0.0,2255.0,1916.5,0.09505906751670637
UC1CVU1pV2rqs8zSIy_OPPHA,Caleb Kids Show,2120000,638,0,11.602333333333332,0.1,0.0,0.0,1803393.86,987829.5,0.09495599558649037
UCBuUuRAVanvOFTd7krncsyg,JillianTubeHD,1740000,277,2,10.19,0.04,0.0,0.0,868865.14,481982.5,0.09466115537220665
UCx5SjA82hQIDPdd3uLCssGQ,Big Family VLOG,479000,2109,1,20.328,0.0,0.0,0.0,6614.98,5768.5,0.0942801593957642
UCA4plE8LqhERSNUiYDuVUFg,Nursery Rhymes TV,258000,249,2,21.817666666666664,0.02,0.0,0.0,570309.22,189385.5,0.09389362576294347
UCKmK7BiD-WGWAmCxEG9__ew,Abi Firoz -Mommy Vlogger,541000,702,3,3.3216666666666668,0.0,0.0,0.0,1549.7,1187.0,0.09384852994706017
UCuxRpCqRMfZU5glUi47bWXA,JacyandKacy,4070000,1434,2,8.171333333333333,0.0,0.0,0.0,49339.22,36211.5,0.0904670558435689
UCj3tNa-UCt5Hhpvc4JnZGcQ,MomOf4 Vlogs,90300,1454,1,16.141000000000002,0.02,0.0,0.0,21179.92,15183.0,0.08870015835160897
UCv7TYWhF5jhtuY3FDPf06Aw,Kids Channel Nursery Rhymes and Baby Songs,1170000,1119,0,20.552333333333333,0.06,0.0,0.0,35000.7,13138.0,0.08864338557511432
UC5mMf2NE17_MiTL94ihRN2w,Star Light Kids,2410000,449,0,19.043,0.08,0.0,0.0,629856.76,126541.0,0.0858286751044395
UC9zvuudYHEptDdXdkD6GAEA,My Family Vlog,361000,608,2,19.537333333333333,0.0,0.0,0.0,216449.28,193876.0,0.08552566405414054
UCN2FNjALOC1OoryKcssOi5Q,The Sangwan Family,824000,524,0,15.368,0.08,0.0,0.0,49272.48,44162.0,0.08322394169405099
UCYOrk_8bdqxClLb8pannmLA,Adventure Family,3060,43,2,12.100416666666666,0.025,0.0,0.0,8147.725,2315.0,0.08155727472458563
UCvlE5gTbOvjiolFlEm-c_Ow,Vlad and Niki,149000000,1014,0,27.663333333333334,0.04,0.0,0.0,12671571.54,8484608.0,0.08097307771983248
UCpo_bRRIG8SfEXRhEvG94JA,Indian Foodie Family Vlogs,2320,1530,0,3.5166666666666666,0.06,0.0,0.0,79.38,71.5,0.07795469728044743
UCpnDeduW4x-ww_UOaUAH6WQ,Kids Tv - Preschool Learning Videos,2200000,1481,1,15.625666666666666,0.0,0.0,0.0,30941.02,24424.0,0.07510730846847292
UC-M2xqLWTXptiOSAom8GjFw,Rolwes  family Vlog ,8880,902,0,9.004,0.06,0.0,0.0,258.12,165.0,0.07055386907386474
UCbprhISv-0ReKPPyhf7-Dtw,Science Max - Scholastic,534000,687,0,48.087333333333326,0.0,0.0,0.0,16169.66,12514.0,0.0702376772645475
UCnxJqjEqrGGQe2OAHiHd0Eg,Sarah • Family Life | Cozy Home & Lifestyle 🤍,14500,136,1,18.204333333333334,0.02,0.0,0.0,11493.62,7322.5,0.06224679973105578
UCgQ9Xsx41bWj9nWcOasCPSg,FAMILY FUN,851000,1942,0,15.611333333333333,0.0,0.0,0.0,18134.7,15467.5,0.06017717311281921
UCTpW4mj-LRVV0m8jWvKIZGQ,Happy kids Vlog,202000,105,0,13.963333333333333,0.06,0.0,0.0,450538.46,353833.5,0.05884542152617771
UCfqU64f0NafwnIs3zPO8VOg,SiS,12500,60,2,6.261,0.0,0.0,0.0,5552.22,1129.5,0.05819770992130847
UCHP0T4C5D2PEzGag5fGslcw,Indonesian Mommy,108000,673,1,15.508333333333333,0.0,0.0,0.0,18800.4,15121.0,0.057293163446726345
UClrJNVolt8PHT7o9HDkV-Bw,Village Cooking Boy,3060000,118,2,3.6031746031746033,0.0,0.0,0.0,55714.666666666664,52426.0,0.05639615787702521
UCgWYulnI9jVbikYmU6bVpXA,Canada Family Vlogs,14300,720,0,21.645666666666667,0.02,0.0,0.0,1050.6,203.0,0.05400013408453111
UCi5_GXxKjgiW0oWAMYBnNIA,prabhati family lifestyle,9180,1786,0,11.174000000000001,0.0,0.0,0.0,151.0,130.5,0.051637571797916636
UCUkdk5nI1If0-0it-JPrBAw,Mom of 6 Japan,82200,29,0,23.37816091954023,0.034482758620689655,0.0,0.0,169930.9655172414,101451.0,0.05072272843912422
UC-0XZzV9y16bKIuWb4qWkCg,Filipino Czech family,208000,1044,0,16.846,0.0,0.0,0.0,63702.06,49775.5,0.041955830548032896
UCpX0Oh5UZSmoGdapjJLvvfQ,Mami Aireh (Fil-Swiss Family vlog),60800,1072,0,14.175666666666666,0.0,0.0,0.0,5236.38,5138.5,0.039483444878582304
UCaCJI3b1oJbjXBKFOfVq2tw,our family,6670,1641,0,2.052380952380952,0.0,0.0,0.0,145.71428571428572,108.0,0.037926934677837205
UCvC7J4fzgzv2UL6ysQzS0-g,The Dad Vlog,20900,699,0,4.7620000000000005,0.02,0.0,0.0,142.06,67.0,0.0340351299891655
UCcULZfOaRdjQo9eQnhOvTLg,All Star Kid Children's Music Channel,238000,393,1,0.15,0.0,0.0,0.0,1289.64,1281.0,0.03342358604091456
UCIVDPLH_7OhX0HAb8BYDsbA,Rhea & Roy Family Vlog,10000,613,0,17.613666666666667,0.0,0.0,0.0,2497.14,2383.0,0.03341266789911532
UCfaZw8XH_zmAVkBst_MPD6w,CKN ,19400000,492,0,6.1353333333333335,0.02,0.0,0.0,5623877.58,3996274.0,0.031092683659814054
UCWdE00ZmF4BATCgGgo92Mew,@The Millitary Family ,466000,827,0,8.019607843137255,0.0,0.0,0.0,8231.764705882353,5901.5,0.027010946194433942
UCbZyw49gycS3tZy6xQya0fw,Actor boy sushil,7570,279,0,5.845,0.02,0.0,0.0,2231.32,495.5,0.026096942757890786
UCrl8Xu6EqLSqUyWcEMXjPPg,Thakor Family Challenge,29700,47,0,8.466666666666667,0.02127659574468085,0.0,0.0,108773.97872340426,98440.0,0.02491703183926767
UCYY3nXWjUXhMU24XQu4oucg,BIG FAMILY,75600,291,0,12.085666666666667,0.0,0.0,0.0,55010.88,41143.5,0.019981042252509747
UC4B6dDVB0Umrh5l4UgxUtyg,MY FAMILY,19800000,448,0,8.943999999999999,0.0,0.0,0.0,1496897.44,398335.0,0.01978657808051048
UC7zOxS8nYX214NlGa1ywNIw,Isaac Family Lifestyle ,2810,226,0,8.391666666666667,0.0,0.0,0.0,461.02,164.5,0.01429123613035814
UCaj3LX7pAAXqVIuOTLOPc2g,The Family Vlogs,6010,19,0,10.939473684210526,0.0,0.0,0.0,8582.684210526315,1921.0,0.012705647816846336
UCvPCxEAFYD6H-AXOcjJk_Xw,TOY MONSTER ©,5010,8,0,10.564583333333333,0.0,0.0,0.0,114729.25,8937.5,0.012031866756522578
UCQB2RScHgu5V7-AuZMsx84A,KidsFunTV,38700,273,0,4.383,0.0,0.0,0.0,1201.32,656.0,0.01068839642831501
