video_id,num_faces,num_smiles,smile_ratio,saturation,brightness,color_std,red_ratio,yellow_ratio,edge_density,face_area_ratio
QFjDUpMQPRM,0,0,0,57.5,180.5,80.6,0.1256,0.0143,0.073,0
f7InPXfPsV8,4,0,0.0,143.2,158.2,78.3,0.2364,0.0829,0.1222,0.0693
H9RcqVHvjxM,1,0,0.0,79.5,156.4,91.4,0.0735,0.0737,0.1125,0.1077
7sSjdJGiApQ,2,0,0.0,115.6,158.8,61.8,0.1744,0.0155,0.0387,0.1108
Z4ljzJuLhxQ,2,0,0.0,63.3,183.3,64.8,0.064,0.0292,0.0429,0.032
Hvd8RNd2rwU,4,0,0.0,81.2,159.2,101.9,0.1423,0.0412,0.0487,0.0999
U_9Cw_L5-iU,1,1,1.0,74.0,133.2,58.9,0.1729,0.0345,0.0517,0.0384
4cBocz4j3Ak,3,0,0.0,75.1,205.4,64.0,0.1182,0.0212,0.089,0.1155
DQohzxWg0pU,3,0,0.0,88.6,125.6,63.3,0.1668,0.0801,0.0435,0.1693
Zbot8he4ZCc,0,0,0,38.0,145.1,95.4,0.0584,0.001,0.0695,0
l_mPnIU28uw,4,1,0.25,131.3,175.7,78.4,0.2474,0.021,0.0607,0.1012
bz8Su-pnz38,4,1,0.25,97.9,154.8,89.4,0.0922,0.101,0.053,0.1308
Pj-3zshnyMs,1,1,1.0,80.3,193.2,70.8,0.0652,0.0027,0.045,0.063
zjJaQN2YeCk,3,1,0.333,119.1,189.1,77.2,0.1697,0.1037,0.0277,0.1711
nRbuVaOlUhE,1,0,0.0,45.9,141.8,95.5,0.0816,0.0014,0.0239,0.1024
1gIowbZK3Fg,0,0,0,51.5,133.6,88.5,0.0147,0.0033,0.0642,0
_0nPTofiVDM,2,1,0.5,105.2,178.3,71.2,0.1136,0.0466,0.1099,0.1655
l98sSLPIYlY,3,0,0.0,132.5,195.7,75.5,0.2933,0.1228,0.0478,0.0811
uYncrPomeLw,2,1,0.5,72.6,159.4,84.0,0.146,0.0122,0.0237,0.1241
N3b24Gj3FMQ,2,0,0.0,96.7,170.9,66.7,0.1012,0.096,0.0582,0.0473
