id,channel_short_name,viewCount,is_challenge,is_unboxing,is_prank,is_storytime,is_vlog,is_tutorial,is_reaction,is_qa,is_review,is_mukbang,is_game,is_roleplay,is_music,is_toy,is_shorts,has_clickbait_emotion,has_urgency,has_mystery,has_conflict,has_medical,has_brand,has_money,has_giveaway,has_milestone,has_travel,title_length,word_count,caps_ratio,exclamation_count,question_mark,has_emoji,has_ellipsis,has_number,has_all_caps_word
PK85W8t9WP4,tannerites,24283.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,15,0.7391304347826086,1,1,0,0,0,1
hTH9GL6jwz4,tannerites,41771.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3,0.9,0,0,0,0,0,1
lqH_fZymcyE,tannerites,114508.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,5,0.09375,1,0,0,0,0,0
ogUGVsmoumI,tannerites,63256.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,10,0.7741935483870968,5,0,0,0,0,1
NXl1MPtNfUg,tannerites,41561.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,3,0.45,2,0,0,0,0,1
UtsbuHP-DwI,tannerites,69261.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3,0.8,2,0,0,0,0,1
tVV2scE_ocQ,tannerites,51463.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,34,5,0.7058823529411765,2,0,0,0,1,1
Dyz2TjC4puc,tannerites,153563.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,60,11,0.7166666666666667,5,0,0,0,1,1
cYYeL4G1ruE,tannerites,16492.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,6,0.6206896551724138,1,0,0,0,1,1
TkZCYDVGvwE,tannerites,23942.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0.7333333333333333,2,0,0,0,0,1
