id,channel_short_name,viewCount,is_challenge,is_unboxing,is_prank,is_storytime,is_vlog,is_tutorial,is_reaction,is_qa,is_review,is_mukbang,is_game,is_roleplay,is_music,is_toy,is_shorts,has_clickbait_emotion,has_urgency,has_mystery,has_conflict,has_medical,has_brand,has_money,has_giveaway,has_milestone,has_travel,title_length,word_count,caps_ratio,exclamation_count,question_mark,has_emoji,has_ellipsis,has_number,has_all_caps_word,cluster_v2
vzaWr2XS8mY,acefamily,913193.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,10,0.7777777777777778,3,0,0,0,0,1,2
oJDg3W0GA2E,acefamily,816105.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,11,0.7692307692307693,0,0,1,0,0,1,2
N1PXjVdmMs4,acefamily,645265.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,5,0.65,0,0,0,1,0,1,2
tPmiRarJ2QI,acefamily,1153443.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,5,0.7142857142857143,0,0,0,1,0,1,2
ov0OMhigk8U,acefamily,817649.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,4,0.6486486486486487,0,0,0,1,0,1,2
0diE1tpFUps,acefamily,1711343.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,11,0.7205882352941176,0,0,0,1,0,1,2
uS8a7KTaQxk,acefamily,1288532.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,4,0.7692307692307693,3,0,0,0,0,1,2
_U2DvVpfDSA,acefamily,1498642.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,59,10,0.711864406779661,0,0,0,1,1,1,2
bWtEksCAGOA,acefamily,960583.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,10,0.6851851851851852,0,0,0,1,1,1,2
kcjWmj5sriM,acefamily,1581169.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,4,0.6666666666666666,0,0,0,1,0,1,2
gsd7aOZwmJo,acefamily,1054999.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,4,0.7058823529411765,3,0,0,0,0,1,2
cq1hI0Mmyic,acefamily,1973338.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,50,6,0.72,3,0,0,0,1,1,2
JDi3tldp97g,acefamily,1409022.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,54,9,0.7222222222222222,3,0,0,0,0,1,2
W2CQG3A2-gk,acefamily,909181.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,72,12,0.7777777777777778,2,1,0,0,0,1,2
cPFQS-umd3k,acefamily,1122091.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,6,0.7241379310344828,3,0,0,0,0,1,2
W6IVxL1xtXw,acefamily,2044038.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,6,0.7894736842105263,3,0,0,0,0,1,2
C9GanXviuds,acefamily,1021604.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,54,8,0.8148148148148148,0,0,0,1,0,1,2
hYSZlrbEcpA,acefamily,1753263.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,28,4,0.7857142857142857,3,0,0,0,0,1,2
hT9YmV6ccwE,acefamily,1941289.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,48,8,0.6875,3,0,0,0,0,1,2
VZIdo8reUb0,acefamily,1123683.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,4,0.8064516129032258,0,0,0,1,0,1,2
yDRwahq_iOw,acefamily,1954123.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,9,0.76,2,1,0,0,0,1,2
RtLeQNGvKJ4,acefamily,1611872.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,9,0.7894736842105263,1,0,0,1,0,1,2
xJiY3Zlpm78,acefamily,2173823.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,39,8,0.7435897435897436,0,0,0,1,0,1,2
WV5b4a9yoak,acefamily,1363660.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,5,0.7575757575757576,2,1,0,0,0,1,2
8M_VIlXFpSg,acefamily,2638611.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,0.6875,3,0,0,0,0,1,2
MbmD5ZJGzGs,acefamily,1609763.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,7,0.7692307692307693,0,0,0,1,0,1,2
8A2AoCg__d0,acefamily,1731451.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,5,0.7878787878787878,0,0,0,1,0,1,2
cuxi0cUGezo,acefamily,1174591.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,46,10,0.7391304347826086,3,0,0,0,0,1,2
KgXZB3p4T1M,acefamily,2811025.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,11,0.7017543859649122,0,0,0,1,0,1,2
