channel,category,is_family,viral_video_idx,viral_views,pre_drift_mean,post_drift_mean,drift_change
besteverfoods,adult,0,278,11901451,0.023065265,-0.00039432273,-0.023459587
besteverfoods,adult,0,279,16698893,0.027610267,-0.00888896,-0.036499225
besteverfoods,adult,0,280,27123244,0.019629236,-0.016728884,-0.036358118
besteverfoods,adult,0,284,17628749,-0.008786549,-0.0276043,-0.018817753
besteverfoods,adult,0,298,11884076,-0.035364144,0.018660799,0.054024942
besteverfoods,adult,0,335,19300711,-0.03585244,-0.028577,0.00727544
besteverfoods,adult,0,339,13731252,-0.023141911,-0.05513494,-0.03199303
besteverfoods,adult,0,343,23590822,-0.02131301,-0.03803938,-0.016726369
besteverfoods,adult,0,345,13529960,-0.019587774,-0.004458879,0.015128895
besteverfoods,adult,0,364,20209404,0.01508675,-0.016076569,-0.031163318
besteverfoods,adult,0,382,15174645,-0.047028877,-0.051708378,-0.004679501
besteverfoods,adult,0,391,11797273,-0.029308021,0.03447066,0.06377868
besteverfoods,adult,0,395,12381706,-0.024418551,0.045522705,0.06994125
besteverfoods,adult,0,406,17142630,0.045522705,-0.046297383,-0.09182009
besteverfoods,adult,0,425,13568552,-0.039355088,-0.018447706,0.020907382
besteverfoods,adult,0,439,13972702,-0.015903134,-0.010651363,0.005251771
besteverfoods,adult,0,441,14777722,-0.028216502,0.010071069,0.038287573
besteverfoods,adult,0,462,12720565,-0.0039220797,0.033597626,0.037519705
besteverfoods,adult,0,472,37014231,0.035512023,-0.011127435,-0.046639457
besteverfoods,adult,0,484,17586177,0.0077602477,0.0013875386,-0.006372709
besteverfoods,adult,0,487,12343943,0.0029646575,0.012735136,0.009770478
besteverfoods,adult,0,489,19132552,0.010714264,-0.0064110113,-0.017125275
besteverfoods,adult,0,492,16879269,0.0072180154,-0.002104219,-0.009322234
besteverfoods,adult,0,498,12139857,0.012735136,0.0018665992,-0.010868536
besteverfoods,adult,0,513,12159262,0.008971043,0.022070777,0.013099734
besteverfoods,adult,0,525,13276395,0.019851455,-0.022690717,-0.042542174
besteverfoods,adult,0,528,12633551,-0.013400564,-0.009667206,0.0037333583
besteverfoods,adult,0,533,16455845,-0.033991188,-0.00032733343,0.033663854
besteverfoods,adult,0,547,18273277,-0.014474109,0.02375336,0.03822747
besteverfoods,adult,0,565,13284364,0.008591824,-0.0152605865,-0.023852412
besteverfoods,adult,0,567,15945966,0.020613283,-0.022850031,-0.043463312
besteverfoods,adult,0,573,12330358,-0.0085575,-0.014917022,-0.0063595213
bonniehoellein,family,1,24,14639525,0.040501263,0.0972598,0.056758534
bonniehoellein,family,1,64,5293765,0.04229851,0.044326775,0.002028264
bonniehoellein,family,1,101,12748007,0.056696247,-0.007875988,-0.06457224
bonniehoellein,family,1,132,4298418,0.03346178,0.06793661,0.034474827
bonniehoellein,family,1,158,6245065,0.03783012,0.052706875,0.014876753
bonniehoellein,family,1,173,4496743,0.02762866,0.07387927,0.04625061
bonniehoellein,family,1,185,8154619,0.074270435,0.1404029,0.06613246
bonniehoellein,family,1,204,5560085,0.16706078,0.12149998,-0.0455608
bonniehoellein,family,1,205,24374085,0.16104047,0.10690223,-0.054138243
bonniehoellein,family,1,206,7064031,0.15620665,0.0902033,-0.06600335
bonniehoellein,family,1,229,4277611,0.02072297,0.116084956,0.095361985
bonniehoellein,family,1,262,8318003,0.14073297,0.12340033,-0.017332643
