channel_id,channel_title,subscribers,is_known_problematic,if_anomaly_score,ocsvm_anomaly_score,pu_score,ensemble_score,emotional_score_mean,commercial_rate,privacy_score_mean,clickbait_score_mean,child_protagonist_rate,cross_platform,upload_frequency,log_subscribers,views_per_sub
UCN2FNjALOC1OoryKcssOi5Q,The Sangwan Family,824000,0,-0.10794403588706913,-0.16209494100015998,1.1184308523326226e-05,0.07409448713351632,0.22,0.0,1.06,1.12,0.2,0,1.4356164383561645,13.621927022483105,0.05979662646040478
UCmKxf6bbhkUuVu4Ps3bfC6A,My OzLife,610000,0,-0.10790961314530811,-0.17210112994842497,1.1184308523326226e-05,0.07111624106750866,0.0,0.0,0.0,0.4081632653061224,0.0,2,2.5643835616438357,13.321215875492413,0.12480712226333253
UCvC7J4fzgzv2UL6ysQzS0-g,The Dad Vlog,20900,0,-0.11107681776394362,-0.2028738998730919,0.010244474051523003,0.06318261164735657,0.3,0.0,0.38,0.54,0.18,0,1.915068493150685,9.94755228369823,0.006796803980670781
UCtZAaljDNIsIAIhwYYzvEiw,The Bee Family,10300000,0,-0.09624902598372687,-0.2528983452171475,1.1184308523326226e-05,0.06060027385482694,0.58,0.0,0.6,1.2,0.2,2,3.1506849315068495,16.14765455028724,0.04306821717784299
UC-0XZzV9y16bKIuWb4qWkCg,Filipino Czech family,208000,0,-0.10444418149357382,-0.2365447218631208,1.1184308523326226e-05,0.055791627524339485,0.1052631578947368,0.0,0.4736842105263157,0.3684210526315789,0.1052631578947368,0,2.8602739726027395,12.245298166364206,0.25522119200337856
UCxq523tQwXhcgDDqBuwoiMQ,Lovleen Vats,707000,0,-0.09711842831076806,-0.28938182263700885,1.1184308523326226e-05,0.04855849076520416,0.6,0.0,0.45,1.35,0.1,0,4.013698630136986,13.468787359304866,0.0666332155117178
UCvmLqYHtUnIFQ0mS-VICGpw,Family Channel,329000,0,-0.08898522148135346,-0.33833451215342225,1.1184308523326226e-05,0.04345736150248439,0.6530612244897959,0.0,0.3265306122448979,0.7346938775510204,0.2857142857142857,1,4.841095890410959,12.703816069256568,0.10076441055417673
UCWdE00ZmF4BATCgGgo92Mew,@The Millitary Family ,466000,0,-0.11393544078389933,-0.27346363045543454,1.1184308523326226e-05,0.03336813607384695,0.2857142857142857,0.0,0.5714285714285714,1.1904761904761905,0.0476190476190476,0,2.265753424657534,13.051943059028227,0.01952530042598519
UCHP0T4C5D2PEzGag5fGslcw,Indonesian Mommy,108000,0,-0.10764303437681982,-0.31076868354541265,1.1184308523326226e-05,0.029592966841106794,0.25,0.0208333333333333,0.4375,0.375,0.0625,1,1.8438356164383563,11.58989576532275,0.17684423446696482
UCCbcZxe-8w5obQHhtX8mA6A,"Our Life In ""Holland"" - The Bingham Family",150000,0,-0.10442316999763979,-0.384052905996072,1.1184308523326226e-05,0.011308917901849236,0.44,0.02,0.4,1.22,0.2,2,3.084931506849315,11.918397239722838,0.1954653635642429
