channel,category,is_family,viral_idx,viral_views,viral_exploit_score,pre_mean,post_mean,drift_change
besteverfoods,adult,0,298,11884076,-0.039637767,-0.028559629,0.015483649,0.04404328
besteverfoods,adult,0,335,19300711,-0.037704095,-0.024149839,0.0024579684,0.026607808
besteverfoods,adult,0,339,13731252,0.09389274,-0.018174054,-0.0019517114,0.016222343
besteverfoods,adult,0,343,23590822,0.03537441,-0.016025947,0.0043012304,0.020327177
besteverfoods,adult,0,345,13529960,-0.029895611,-0.021450317,0.01678371,0.038234025
besteverfoods,adult,0,364,20209404,0.018961849,0.008145006,0.014555302,0.006410296
besteverfoods,adult,0,382,15174645,0.024279594,0.008084735,-0.016835388,-0.024920123
besteverfoods,adult,0,391,11797273,-0.0945186,-0.010297442,0.052194346,0.06249179
besteverfoods,adult,0,395,12381706,-0.09523721,-0.013243226,0.05233827,0.06558149
besteverfoods,adult,0,406,17142630,0.07145464,0.041129462,0.0027212352,-0.038408227
besteverfoods,adult,0,425,13568552,-0.01766209,-0.009736892,0.007961052,0.017697943
besteverfoods,adult,0,439,13972702,-0.04707151,0.007710257,0.01041023,0.0026999726
besteverfoods,adult,0,441,14777722,-0.07566107,0.007961052,0.01083645,0.0028753988
besteverfoods,adult,0,462,12720565,-0.04024742,0.0047856886,0.03399718,0.029211493
besteverfoods,adult,0,472,37014231,0.0056376867,0.030331625,-0.0025732645,-0.03290489
besteverfoods,adult,0,484,17586177,-0.11453585,0.022869607,0.00013064494,-0.022738963
besteverfoods,adult,0,487,12343943,-0.04221402,0.00061685033,0.01424983,0.013632979
besteverfoods,adult,0,489,19132552,-0.057670265,0.007819512,0.012552512,0.004733
besteverfoods,adult,0,492,16879269,0.022771485,0.008444309,0.0079955105,-0.00044879876
besteverfoods,adult,0,498,12139857,-0.10937561,0.0040249946,0.026536558,0.022511564
besteverfoods,adult,0,513,12159262,0.03837255,0.016686682,0.02612677,0.009440089
besteverfoods,adult,0,525,13276395,0.07932071,0.028720263,0.008103383,-0.020616882
besteverfoods,adult,0,528,12633551,0.04580619,0.025631193,0.0007465233,-0.02488467
besteverfoods,adult,0,533,16455845,0.034409888,0.030368077,-0.009391301,-0.03975938
besteverfoods,adult,0,547,18273277,-0.06421918,-0.004758757,0.03530114,0.040059898
besteverfoods,adult,0,565,13284364,-0.009445004,0.023543276,0.0021462818,-0.021396995
besteverfoods,adult,0,567,15945966,0.008863747,0.01585515,0.0015713267,-0.014283824
besteverfoods,adult,0,573,12330358,0.031377062,-0.0064432775,0.026108516,0.032551795
bonniehoellein,family,1,24,14639525,0.2753957,0.045758925,0.03669073,-0.009068195
bonniehoellein,family,1,64,5293765,0.010024779,-0.0031766172,0.006626868,0.009803485
bonniehoellein,family,1,101,12748007,-0.00096469745,0.062149152,0.027597511,-0.034551643
bonniehoellein,family,1,132,4298418,-0.1275827,0.02339611,0.054925803,0.031529695
bonniehoellein,family,1,158,6245065,0.09346524,0.056100853,0.04320764,-0.012893211
bonniehoellein,family,1,173,4496743,0.12742788,0.040943462,0.041232765,0.00028930232
bonniehoellein,family,1,185,8154619,0.21199422,0.034935076,0.062697984,0.027762908
bonniehoellein,family,1,204,5560085,-0.065880686,0.09203368,0.07696806,-0.015065618
bonniehoellein,family,1,205,24374085,0.23888475,0.08046012,0.051769163,-0.02869096
bonniehoellein,family,1,206,7064031,0.06017172,0.09444046,0.038597528,-0.055842932
bonniehoellein,family,1,229,4277611,0.1303046,0.042545058,0.0149306515,-0.027614407
bonniehoellein,family,1,262,8318003,0.1474265,0.048812177,0.048757914,-5.426258e-05
bonniehoellein,family,1,307,8755146,0.1923522,0.07374586,0.076504394,0.0027585328
bonniehoellein,family,1,362,11012321,0.23827802,0.047056444,0.030750105,-0.016306339
bonniehoellein,family,1,370,8799034,0.03172352,0.03164145,0.041555095,0.009913646
bonniehoellein,family,1,376,4289001,0.22075592,0.01823864,0.040683348,0.022444708
bonniehoellein,family,1,384,4608078,0.115678184,0.0402,0.052965775,0.012765776
bonniehoellein,family,1,386,9579575,0.18807876,0.041555095,0.03695021,-0.004604887
bonniehoellein,family,1,407,4547962,-0.056319952,0.030132536,0.015373498,-0.014759038
bonniehoellein,family,1,442,5175626,0.057872944,0.024821764,0.031894535,0.007072771
bonniehoellein,family,1,549,5002956,-0.08053816,0.0443385,0.023412673,-0.020925825
bonniehoellein,family,1,575,80960004,0.018156461,-0.06303363,0.022787334,0.085820965
bonniehoellein,family,1,585,5825727,0.12311242,-0.04208795,0.047925964,0.090013914
bonniehoellein,family,1,635,17897141,0.048872385,0.07279828,0.052287687,-0.020510595
bonniehoellein,family,1,709,15638119,0.08359056,0.060890656,0.045525193,-0.015365463
bonniehoellein,family,1,749,8195658,0.14271131,-0.021991812,0.016272672,0.038264483
bonniehoellein,family,1,797,6891833,0.26461452,0.023125857,0.08364769,0.060521834
bonniehoellein,family,1,921,4624324,-0.015703587,0.08567978,0.07097351,-0.014706269
bonniehoellein,family,1,966,8657056,0.23888475,0.08554423,0.06342009,-0.022124141
bonniehoellein,family,1,1064,7271774,0.13582847,0.12938008,0.073994525,-0.055385552
bratayley,family,1,41,10016765,0.1467102,0.06467978,0.022383107,-0.04229667
bratayley,family,1,54,15111824,0.11039323,0.024040874,0.036698565,0.012657691
bratayley,family,1,67,24132059,-0.029936267,0.032498106,0.081517056,0.04901895
bratayley,family,1,109,72951711,-0.00027712807,-0.0142280655,0.03716427,0.051392335
bratayley,family,1,116,18102065,-0.032538608,0.016258385,0.031071587,0.0148132015
bratayley,family,1,124,11811265,0.002774451,0.03696083,0.03782524,0.00086441264
bratayley,family,1,139,14480627,0.17315543,0.026466513,0.06483333,0.038366817
