num_faces,max_face_ratio,has_open_mouth,brightness,saturation,contrast,colorfulness,edge_density,top_edge_density,bottom_edge_density,has_text_overlay,video_id
4,0.177978515625,True,210.47309895833334,125.4453244357639,68.31851760297609,121.13314932944981,0.05270073784722222,0.08912760416666667,0.034928385416666666,False,9z6bVYcWBZM
1,0.05015733506944445,True,224.3235329861111,73.06368815104166,56.60780882975322,71.0145641966153,0.07106662326388889,0.0525390625,0.007611762152777778,False,Zl0W2HK_vr4
2,0.057900390625,True,203.50698350694444,86.57870551215278,57.25323200424727,75.1158071282707,0.05578884548611111,0.024913194444444446,0.11484917534722222,False,9ugeJzpj8qE
3,0.057900390625,True,226.29075303819445,177.80990451388888,46.73153292462312,159.7908731900124,0.07121202256944445,0.07277018229166667,0.05112847222222222,False,nnSJVMSicaQ
1,0.044275173611111114,True,202.3959429253472,171.647734375,52.478336832882,146.3719758847125,0.11994683159722222,0.09403754340277778,0.12039930555555556,False,rOR9bCBG_Ig
1,0.05444444444444444,True,226.41225151909723,73.08032769097223,55.830168799554315,92.34641509562401,0.03846788194444444,0.03599175347222222,0.039252387152777776,False,xfbqLTcdORQ
3,0.027431640625,False,205.10795355902778,229.72390950520833,50.41024395395502,199.80574343366487,0.05134223090277778,0.057112630208333334,0.12821723090277778,False,PtX-N1_Eaj0
4,0.030261501736111113,True,204.21253038194445,96.35698459201389,65.89244476824167,79.95372560154858,0.06812934027777778,0.06305881076388889,0.032568359375,False,3OhDk73b_xc
1,0.142978515625,False,225.07865125868057,158.6902951388889,62.99057474631919,151.23670913184242,0.04285698784722222,0.06700303819444445,0.023866102430555557,False,aXEeGWn2ymY
1,0.060947265625,True,235.83263129340278,110.49903645833334,52.327430901618754,138.4030981854885,0.05040690104166667,0.036854383680555554,0.09348415798611111,False,nzTxCpPTVgQ
1,0.009587673611111111,False,189.84709635416667,148.984091796875,60.782704539247725,131.61063315146072,0.10153862847222223,0.204541015625,0.050282118055555554,True,BHnKy53rjrk
5,0.010850694444444444,False,192.84954318576388,147.806015625,50.89737816948677,122.4005532349932,0.08648546006944445,0.048502604166666664,0.024110243055555557,False,lmutDiX_jis
